District,Year,Crop,Season,Area,total_crop_area,net_sown_area,rainfall_mm,yield
ARIYALUR,2008,Rice,Kharif,24574,66816,,,
ARIYALUR,2008,Arhar/Tur,Whole Year,209,66816,,,
ARIYALUR,2008,Bajra,Whole Year,565,66816,,,
ARIYALUR,2008,Banana,Whole Year,190,66816,,,
ARIYALUR,2008,Cashewnut,Whole Year,31113,66816,,,
ARIYALUR,2008,Castor seed,Whole Year,27,66816,,,
ARIYALUR,2008,Coconut,Whole Year,335,66816,,,
ARIYALUR,2008,Coriander,Whole Year,460,66816,,,
ARIYALUR,2008,Cotton(lint),Whole Year,3566,66816,,,
ARIYALUR,2008,Dry chillies,Whole Year,1774,66816,,,
ARIYALUR,2008,Groundnut,Whole Year,14528,66816,,,
ARIYALUR,2008,Jowar,Whole Year,6674,66816,,,
ARIYALUR,2008,Maize,Whole Year,9797,66816,,,
ARIYALUR,2008,Moong(Green Gram),Whole Year,39,66816,,,
ARIYALUR,2008,Onion,Whole Year,21,66816,,,
ARIYALUR,2008,Ragi,Whole Year,13,66816,,,
ARIYALUR,2008,Sugarcane,Whole Year,8608,66816,,,
ARIYALUR,2008,Sunflower,Whole Year,221,66816,,,
ARIYALUR,2008,Sweet potato,Whole Year,2,66816,,,
ARIYALUR,2008,Tapioca,Whole Year,258,66816,,,
ARIYALUR,2008,Turmeric,Whole Year,10,66816,,,
ARIYALUR,2008,Urad,Whole Year,1192,66816,,,
ARIYALUR,2009,Rice,Kharif,25978,67410,,,3.0973131110940026
ARIYALUR,2009,Small millets,Kharif,404,67410,,,1.6064356435643565
ARIYALUR,2009,Arhar/Tur,Whole Year,160,67410,,,0.7625
ARIYALUR,2009,Bajra,Whole Year,644,67410,,,1.6801242236024845
ARIYALUR,2009,Banana,Whole Year,134,67410,,,42.992537313432834
ARIYALUR,2009,Cashewnut,Whole Year,31188,67410,,,0.3198345517506733
ARIYALUR,2009,Castor seed,Whole Year,21,67410,,,0.2857142857142857
ARIYALUR,2009,Coconut,Whole Year,336,67410,,,15.476190476190476
ARIYALUR,2009,Coriander,Whole Year,338,67410,,,0.39644970414201186
ARIYALUR,2009,Cotton(lint),Whole Year,4074,67410,,,2.7081492390770743
ARIYALUR,2009,Dry chillies,Whole Year,1676,67410,,,0.3627684964200477
ARIYALUR,2009,Groundnut,Whole Year,13878,67410,,,1.9456694048133736
ARIYALUR,2009,Jowar,Whole Year,4959,67410,,,1.420246017342206
ARIYALUR,2009,Maize,Whole Year,9979,67410,,,2.394127668103016
ARIYALUR,2009,Moong(Green Gram),Whole Year,13,67410,,,0.8461538461538461
ARIYALUR,2009,Onion,Whole Year,47,67410,,,9.74468085106383
ARIYALUR,2009,Ragi,Whole Year,47,67410,,,2.765957446808511
ARIYALUR,2009,Sesamum,Whole Year,1652,67410,,,0.2736077481840194
ARIYALUR,2009,Sugarcane,Whole Year,6970,67410,,,116.20430416068866
ARIYALUR,2009,Sunflower,Whole Year,111,67410,,,1.3333333333333333
ARIYALUR,2009,Sweet potato,Whole Year,2,67410,,,14.5
ARIYALUR,2009,Tapioca,Whole Year,257,67410,,,34.46692607003891
ARIYALUR,2009,Turmeric,Whole Year,21,67410,,,5.0476190476190474
ARIYALUR,2009,Urad,Whole Year,1046,67410,,,0.3824091778202677
ARIYALUR,2010,Arhar/Tur,Kharif,209,78782,,,0.6602870813397129
ARIYALUR,2010,Castor seed,Kharif,27,78782,,,0.25925925925925924
ARIYALUR,2010,Cotton(lint),Kharif,5684,78782,,,1.6469035890218156
ARIYALUR,2010,Groundnut,Kharif,12058,78782,,,3.090562282302206
ARIYALUR,2010,Maize,Kharif,9996,78782,,,0.863345338135254
ARIYALUR,2010,Moong(Green Gram),Kharif,4,78782,,,0.5
ARIYALUR,2010,Ragi,Kharif,42,78782,,,2.5952380952380953
ARIYALUR,2010,Rice,Kharif,25211,78782,,,3.8819959541469995
ARIYALUR,2010,Sunflower,Kharif,202,78782,,,1.2128712871287128
ARIYALUR,2010,Urad,Kharif,1526,78782,,,0.4855832241153342
ARIYALUR,2010,Sugarcane,Whole Year,7500,78782,,,98.53413333333333
ARIYALUR,2011,Bajra,Kharif,590,73854,,,2.5406779661016947
ARIYALUR,2011,Cotton(lint),Kharif,7661,73854,,,4.7224905364834875
ARIYALUR,2011,Groundnut,Kharif,9999,73854,,,3.576957695769577
ARIYALUR,2011,Jowar,Kharif,1659,73854,,,1.2742616033755274
ARIYALUR,2011,Maize,Kharif,11778,73854,,,5.169043980302258
ARIYALUR,2011,Ragi,Kharif,14,73854,,,2.642857142857143
ARIYALUR,2011,Rice,Kharif,24097,73854,,,4.0360625804042
ARIYALUR,2011,Bajra,Rabi,6,73854,,,3.0
